date,ticker,positive,negative,neutral
2025-03-14,BA,2,1,4
2025-03-14,CVX,3,0,1
2025-03-14,CSCO,0,0,2
2025-03-14,KO,1,1,2
2025-03-14,DOW,1,0,0
2025-03-14,GS,0,0,2
2025-03-14,HON,0,0,1
2025-03-14,IBM,0,1,2
2025-03-14,INTC,4,2,6
2025-03-14,JNJ,2,0,4
2025-03-14,JPM,2,1,3
2025-03-14,MCD,0,0,2
2025-03-14,MSFT,2,7,11
2025-03-14,NKE,1,1,3
2025-03-14,PG,1,0,1
2025-03-14,CRM,2,1,1
2025-03-14,TRV,1,0,0
2025-03-14,UNH,1,1,0
2025-03-14,VZ,1,1,1
2025-03-14,V,1,0,3
2025-03-14,WMT,2,1,4
2025-03-14,DIS,0,0,2
2025-03-14,NVDA,6,5,9
2025-03-14,GOOGL,3,2,13
2025-03-14,META,1,1,8
2025-03-14,BRK-A,0,1,0
2025-03-14,BRK-B,0,1,0
2025-03-14,TSLA,5,10,5
2025-03-14,AVGO,3,1,2
2025-03-14,LLY,3,1,2
2025-03-14,NFLX,2,0,6
2025-03-14,ASML,0,1,1
2025-03-14,BABA,0,0,1
2025-03-14,MMM,0,1,0
2025-03-14,AXP,1,2,1
2025-03-14,AMGN,1,0,0
2025-03-14,AAPL,2,4,14
2025-03-14,AMD,3,3,1
2025-03-15,GS,0,0,1
2025-03-17,GS,1,0,0
2025-03-18,MCD,1,0,0
2025-03-18,MSFT,0,0,1
2025-03-18,NVDA,1,0,1
2025-03-18,BRK-B,1,0,0
2025-03-18,TSLA,0,1,1
2025-03-19,WMT,0,2,0
2025-03-19,NVDA,1,0,1
2025-03-19,GOOGL,1,0,1
2025-03-19,TSLA,0,1,0
2025-03-19,BABA,0,0,1
2025-03-20,MSFT,1,0,0
2025-03-20,DIS,0,0,2
2025-03-20,NVDA,1,0,1
2025-03-20,GOOGL,1,0,0
2025-03-20,META,1,0,1
2025-03-20,TSLA,0,1,0
2025-03-21,CVX,0,1,0
2025-03-21,INTC,0,1,0
2025-03-21,DIS,1,0,0
2025-03-21,GOOGL,0,0,1
2025-03-21,TSLA,0,0,1
2025-03-21,AAPL,0,0,1
2025-03-22,CVX,0,1,0
2025-03-22,TSLA,0,2,2
2025-03-22,NFLX,1,0,0
2025-03-23,MSFT,0,0,1
2025-03-23,NVDA,0,0,1
2025-03-23,GOOGL,0,0,1
2025-03-23,META,0,0,1
2025-03-24,CVX,0,1,0
2025-03-24,TSLA,0,1,0
2025-03-24,NFLX,1,0,0
2025-03-25,MSFT,1,1,0
2025-03-25,NVDA,0,2,0
2025-03-25,GOOGL,0,2,0
2025-03-25,META,0,1,0
2025-03-25,AVGO,0,1,0
2025-03-25,AAPL,0,1,0
2025-03-25,AMD,0,2,0
2025-03-26,DIS,1,0,0
2025-03-26,NVDA,1,1,0
2025-03-26,GOOGL,0,1,0
2025-03-26,AAPL,0,1,0
2025-03-26,AMD,0,1,0
2025-03-27,NVDA,0,0,1
2025-03-27,GOOGL,1,0,0
2025-03-27,META,1,0,0
2025-03-27,TSLA,1,0,0
2025-03-27,NFLX,1,0,0
